Order Id= Ord001,	 Customer ID= CSX001, 	 Customer Name= Andrew Robertson, 		 Item Id= X001,	  Number Items= 1,	  Customer is in Queue= true
Order Id= Ord002,	 Customer ID= CSX002, 	 Customer Name= Ann Jones, 		 Item Id= X002,	  Number Items= 3,	  Customer is in Queue= true
Order Id= Ord003,	 Customer ID= CSX003, 	 Customer Name= Blair Foster, 		 Item Id= X003,	  Number Items= 2,	  Customer is in Queue= true
Order Id= Ord004,	 Customer ID= CSX004, 	 Customer Name= Bob Dawson, 		 Item Id= X004,	  Number Items= 4,	  Customer is in Queue= true
Order Id= Ord005,	 Customer ID= CSX005, 	 Customer Name= Chris Smith, 		 Item Id= X005,	  Number Items= 6,	  Customer is in Queue= true
Order Id= Ord006,	 Customer ID= CSX006, 	 Customer Name= Dave Jackson, 		 Item Id= X006,	  Number Items= 8,	  Customer is in Queue= true
Order Id= Ord007,	 Customer ID= CSX007, 	 Customer Name= David Hunter, 		 Item Id= X007,	  Number Items= 9,	  Customer is in Queue= true
Order Id= Ord008,	 Customer ID= CSX008, 	 Customer Name= Donald Murray, 		 Item Id= X008,	  Number Items= 6,	  Customer is in Queue= true
Order Id= Ord010,	 Customer ID= CSX010, 	 Customer Name= Fiona Thoms, 		 Item Id= X009,	  Number Items= 5,	  Customer is in Queue= true
Order Id= Ord011,	 Customer ID= CSX011, 	 Customer Name= Gillian Hamilton, 		 Item Id= X010,	  Number Items= 4,	  Customer is in Queue= true
Order Id= Ord012,	 Customer ID= CSX012, 	 Customer Name= Harry Johnston, 		 Item Id= X011,	  Number Items= 3,	  Customer is in Queue= false
Order Id= Ord013,	 Customer ID= CSX013, 	 Customer Name= Helen Webster, 		 Item Id= X012,	  Number Items= 2,	  Customer is in Queue= false
Order Id= Ord014,	 Customer ID= CSX014, 	 Customer Name= Jack Houston, 		 Item Id= X013,	  Number Items= 3,	  Customer is in Queue= false
Order Id= Ord015,	 Customer ID= CSX015, 	 Customer Name= Jo Hill, 		 Item Id= X014,	  Number Items= 4,	  Customer is in Queue= false
Order Id= Ord016,	 Customer ID= CSX016, 	 Customer Name= Joe Woods, 		 Item Id= X015,	  Number Items= 5,	  Customer is in Queue= false
Order Id= Ord017,	 Customer ID= CSX017, 	 Customer Name= John Brown, 		 Item Id= X016,	  Number Items= 6,	  Customer is in Queue= false
Order Id= Ord018,	 Customer ID= CSX018, 	 Customer Name= Judy Hilman, 		 Item Id= X017,	  Number Items= 7,	  Customer is in Queue= false
Order Id= Ord019,	 Customer ID= CSX019, 	 Customer Name= Keith Burns, 		 Item Id= X018,	  Number Items= 8,	  Customer is in Queue= false
Order Id= Ord020,	 Customer ID= CSX020, 	 Customer Name= Lily Watson, 		 Item Id= X019,	  Number Items= 9,	  Customer is in Queue= false
